Year,Funding_Source,Amount
2020,GOG Contingency Fund,"1,203,715,085.77"
2021,GOG Contingency Fund,0.00
2022,GOG Contingency Fund,0.00
2020,World  Bank Group  Funds- Health  Interventions:,"545,769,204.48"
2021,World  Bank Group  Funds- Health  Interventions:,684348522.6
2022,World  Bank Group  Funds- Health  Interventions:,748365466.9
2020,IMF,"5,566,676,161.54"
2021,IMF,0.00
2022,IMF,0.00
2020,AfDB,"398,745,781.93"
2021,AfDB,0.00
2022,AfDB,0.00
2020,EU,"569,617,581.78"
2021,EU,0.00
2022,EU,0.00
2020,BOG-COVID-19 Bonds,"10,000,000,000.00"
2021,BOG-COVID-19 Bonds,0.00
2022,BOG-COVID-19 Bonds,0.00
2020,Other GoG,"827,794,389.62"
2021,Other GoG,"1,294,202,614.85"
2022,Other GoG,"4,954,375.72"